"На то, чтобы организовать корпоратив, они потратили 50 000₽, включая аренду зала и заказ еды.","На то, чтобы организовать корпоратив, они потратили 50 000 рублей, включая аренду зала и заказ еды."
"Для того чтобы сделать хороший ремонт в офисе, было потрачено 200 000₽, и ремонт продлился несколько месяцев.","Для того чтобы сделать хороший ремонт в офисе, было потрачено 200 000 рублей, и ремонт продлился несколько месяцев."
"Стоимость VIP-билета на футбольный матч составила 10 000₽, что дало ему доступ в специальные ложи.","Стоимость VIP-билета на футбольный матч составила 10 000 рублей, что дало ему доступ в специальные ложи."
"После ремонта машины за 20 000₽ он был уверен, что автомобиль теперь в идеальном состоянии.","После ремонта машины за 20 000 рублей он был уверен, что автомобиль теперь в идеальном состоянии."
"Стоимость часов, которые он купил, составила 15 000₽, и это было разумной ценой для такого бренда.","Стоимость часов, которые он купил, составила 15 000 рублей, и это было разумной ценой для такого бренда."
"На покупку новой мебели для квартиры он потратил 70 000₽, что включало диваны, стулья и столы.","На покупку новой мебели для квартиры он потратил 70 000 рублей, что включало диваны, стулья и столы."
"За уроки иностранных языков в языковой школе он заплатил 12 000₽ за месяц.","За уроки иностранных языков в языковой школе он заплатил 12 000 рублей за месяц."
"Он потратил 300₽ на покупку книги, которая помогла ему в работе.","Он потратил 300 рублей на покупку книги, которая помогла ему в работе."
"Для того чтобы улучшить свой автомобиль, он потратил 25 000₽ на тюнинг и дополнительные детали.","Для того чтобы улучшить свой автомобиль, он потратил 25 000 рублей на тюнинг и дополнительные детали."
"Он приобрел новый телевизор за 35 000₽, который стал важной частью его домашнего кинотеатра.","Он приобрел новый телевизор за 35 000 рублей, который стал важной частью его домашнего кинотеатра."
"За аренду виллы на побережье он заплатил 50 000₽ за неделю.","За аренду виллы на побережье он заплатил 50 000 рублей за неделю."
"На оплату обучения в университете он заплатил 100 000₽ за год.","На оплату обучения в университете он заплатил 100 000 рублей за год."
"Для того чтобы заплатить за транспортировку мебели, он потратил 3000₽.","Для того чтобы заплатить за транспортировку мебели, он потратил 3000 рублей."
"Он заплатил 2000₽ за медицинские услуги, включая консультацию и необходимые анализы.","Он заплатил 2000 рублей за медицинские услуги, включая консультацию и необходимые анализы."
"Для того чтобы купить новые аксессуары для своей машины, он потратил 15 000₽.","Для того чтобы купить новые аксессуары для своей машины, он потратил 15 000 рублей."
"Стоимость электросамоката составила 25 000₽, что оказалось выгодной покупкой для ежедневных поездок по городу.","Стоимость электросамоката составила 25 000 рублей, что оказалось выгодной покупкой для ежедневных поездок по городу."
"Он потратил 10 000₽ на организацию делового ужина с партнерами.","Он потратил 10 000 рублей на организацию делового ужина с партнерами."
"После того как ему выписали штраф за нарушение правил дорожного движения, он заплатил 1500₽.","После того как ему выписали штраф за нарушение правил дорожного движения, он заплатил 1500 рублей."
"Стоимость новой игры на компьютере составила 2500₽, что было довольно дешево по сравнению с её качеством.","Стоимость новой игры на компьютере составила 2500 рублей, что было довольно дешево по сравнению с её качеством."
"Для того чтобы заказать услуги дизайнеров для обновления интерьера, компания заплатила 30 000₽.","Для того чтобы заказать услуги дизайнеров для обновления интерьера, компания заплатила 30 000 рублей."
"Он потратил 1000₽ на покупку модного рюкзака, который сразу стал его любимым аксессуаром.","Он потратил 1000 рублей на покупку модного рюкзака, который сразу стал его любимым аксессуаром."
"Зарплата программиста в этом офисе составляет 80 000₽, что является довольно конкурентоспособным предложением.","Зарплата программиста в этом офисе составляет 80 000 рублей, что является довольно конкурентоспособным предложением."
"Цена нового телевизора с диагональю 55 дюймов составила 35 000₽, и качество изображения просто потрясающее.","Цена нового телевизора с диагональю 55 дюймов составила 35 000 рублей, и качество изображения просто потрясающее."
"Стоимость такси от аэропорта до центра города составила 1500₽, что вполне разумно.","Стоимость такси от аэропорта до центра города составила 1500 рублей, что вполне разумно."
"После покупки нового ноутбука, стоимость которого составила 50 000₽, он почувствовал значительное улучшение в своей работе.","После покупки нового ноутбука, стоимость которого составила 50 000 рублей, он почувствовал значительное улучшение в своей работе."
"В результате ремонтных работ в квартире было потрачено 100 000₽, включая все материалы и оплату труда специалистов.","В результате ремонтных работ в квартире было потрачено 100 000 рублей, включая все материалы и оплату труда специалистов."
"Для того чтобы пройти курс по улучшению лидерских навыков, он заплатил 12 000₽.","Для того чтобы пройти курс по улучшению лидерских навыков, он заплатил 12 000 рублей."
"Стоимость нового телефона составила 20 000₽, и это был отличный выбор по такой цене.","Стоимость нового телефона составила 20 000 рублей, и это был отличный выбор по такой цене."
"На покупку подарков для всей семьи он потратил 15 000₽, что оказалось весьма разумным вложением.","На покупку подарков для всей семьи он потратил 15 000 рублей, что оказалось весьма разумным вложением."
"Стоимость поездки на курорт в Краснодарский край составила 45 000₽ на двоих, включая все расходы.","Стоимость поездки на курорт в Краснодарский край составила 45 000 рублей на двоих, включая все расходы."
"На покупку новых джинсов и футболок в модном магазине он потратил 3500₽.","На покупку новых джинсов и футболок в модном магазине он потратил 3500 рублей."
"Цена билета на международный авиарейс составила 10 000₽, что оказалось выгодным предложением для данной даты.","Цена билета на международный авиарейс составила 10 000 рублей, что оказалось выгодным предложением для данной даты."
"Он заказал видеоигры для своего нового консоли, и общая сумма заказа составила 7000₽.","Он заказал видеоигры для своего нового консоли, и общая сумма заказа составила 7000 рублей."
"Для того чтобы оплатить услуги по улучшению поисковой оптимизации сайта, компания потратила 25 000₽.","Для того чтобы оплатить услуги по улучшению поисковой оптимизации сайта, компания потратила 25 000 рублей."
"Стоимость музыкального альбома с автографом исполнителя составила 5000₽, что сделало её ценным коллекционным предметом.","Стоимость музыкального альбома с автографом исполнителя составила 5000 рублей, что сделало её ценным коллекционным предметом."
"Чтобы купить новый холодильник для квартиры, они потратили 15 000₽, выбрав оптимальную модель по характеристикам.","Чтобы купить новый холодильник для квартиры, они потратили 15 000 рублей, выбрав оптимальную модель по характеристикам."
"На участие в семинаре по финансовому планированию он потратил 2000₽, что стало важной инвестицией в его будущее.","На участие в семинаре по финансовому планированию он потратил 2000 рублей, что стало важной инвестицией в его будущее."
"После посещения шоу он заплатил 4000₽ за VIP-билет, что дало ему множество привилегий.","После посещения шоу он заплатил 4000 рублей за VIP-билет, что дало ему множество привилегий."
"Стоимость арендной платы за офисное помещение составила 30 000₽ в месяц, что вполне соответствовало его потребностям.","Стоимость арендной платы за офисное помещение составила 30 000 рублей в месяц, что вполне соответствовало его потребностям."
"На заказ новой одежды для зимнего сезона он потратил 12 000₽, что включало зимние куртки и ботинки.","На заказ новой одежды для зимнего сезона он потратил 12 000 рублей, что включало зимние куртки и ботинки."
"За участие в тренинге по личной эффективности ему пришлось заплатить 5000₽, но он считал это полезным вложением.","За участие в тренинге по личной эффективности ему пришлось заплатить 5000 рублей, но он считал это полезным вложением."
"Для того чтобы прокачать свою машину, он купил детали на сумму 20 000₽.","Для того чтобы прокачать свою машину, он купил детали на сумму 20 000 рублей."
"На ремонт ванной комнаты он потратил 40 000₽, что включало замену труб и отделку стен.","На ремонт ванной комнаты он потратил 40 000 рублей, что включало замену труб и отделку стен."
"После того как он купил новый спортивный костюм за 3000₽, он почувствовал, что готов к новым тренировкам.","После того как он купил новый спортивный костюм за 3000 рублей, он почувствовал, что готов к новым тренировкам."
"Стоимость автомобиля составила 600 000₽, что было для него вполне приемлемо.","Стоимость автомобиля составила 600 000 рублей, что было для него вполне приемлемо."
"На организацию семейного торжества он потратил 50 000₽, чтобы все гости остались довольны.","На организацию семейного торжества он потратил 50 000 рублей, чтобы все гости остались довольны."
"Для того чтобы изменить дизайн сайта компании, он заплатил 15 000₽ профессиональным дизайнерам.","Для того чтобы изменить дизайн сайта компании, он заплатил 15 000 рублей профессиональным дизайнерам."
"Стоимость ночного клуба составила 3500₽ за вход, и он решил, что это отличная возможность отдохнуть.","Стоимость ночного клуба составила 3500 рублей за вход, и он решил, что это отличная возможность отдохнуть."
"За участие в конференции по технологиям, проходящей в Москве, он заплатил 10 000₽.","За участие в конференции по технологиям, проходящей в Москве, он заплатил 10 000 рублей."
"Стоимость нового холодильника составила 25 000₽, и он считал, что это оправданная трата для такого качества.","Стоимость нового холодильника составила 25 000 рублей, и он считал, что это оправданная трата для такого качества."
"В стоимость аренды машины на неделю включено 15 000₽, что позволило ему передвигаться по городу удобно.","В стоимость аренды машины на неделю включено 15 000 рублей, что позволило ему передвигаться по городу удобно."
"Он заплатил 250₽ за аренду велосипеда на день, и это оказалось вполне приемлемой ценой.","Он заплатил 250 рублей за аренду велосипеда на день, и это оказалось вполне приемлемой ценой."
"На оплату счетов за электричество в офисе компания потратила 5000₽ за месяц.","На оплату счетов за электричество в офисе компания потратила 5000 рублей за месяц."
"Для того чтобы провести расследование, адвокат потребовал 10 000₽ за консультацию.","Для того чтобы провести расследование, адвокат потребовал 10 000 рублей за консультацию."
"Он заплатил 300₽ за зарядку электросамоката в арендной станции, чтобы продолжить поездку.","Он заплатил 300 рублей за зарядку электросамоката в арендной станции, чтобы продолжить поездку."
"Для того чтобы обновить кухню в квартире, ему пришлось потратить 60 000₽ на новую технику и мебель.","Для того чтобы обновить кухню в квартире, ему пришлось потратить 60 000 рублей на новую технику и мебель."
"Стоимость проезда в поезде с комфортным вагоном составила 1200₽, что было намного удобнее, чем стандартное место.","Стоимость проезда в поезде с комфортным вагоном составила 1200 рублей, что было намного удобнее, чем стандартное место."
"Стоимость билета на концерт любимой группы составила 4000₽, и он с нетерпением ждал начала шоу.","Стоимость билета на концерт любимой группы составила 4000 рублей, и он с нетерпением ждал начала шоу."
"Для того чтобы пройти курс по кулинарии, он заплатил 15 000₽, что оказалось полезным опытом.","Для того чтобы пройти курс по кулинарии, он заплатил 15 000 рублей, что оказалось полезным опытом."
"После долгих поисков он наконец купил новую камеру за 45 000₽, что значительно улучшило качество его фотографий.","После долгих поисков он наконец купил новую камеру за 45 000 рублей, что значительно улучшило качество его фотографий."
"За выходные он потратил 6000₽ на покупки, включая новые обувь и спортивную форму.","За выходные он потратил 6000 рублей на покупки, включая новые обувь и спортивную форму."
"Стоимость новых очков составила 8000₽, и они идеально подошли к его стилю.","Стоимость новых очков составила 8000 рублей, и они идеально подошли к его стилю."
"Для того чтобы арендовать квартиру на месяц, ему пришлось заплатить 35 000₽, включая коммунальные услуги.","Для того чтобы арендовать квартиру на месяц, ему пришлось заплатить 35 000 рублей, включая коммунальные услуги."
"Цена нового велосипеда составила 25 000₽, и он не мог дождаться, чтобы попробовать его на трассе.","Цена нового велосипеда составила 25 000 рублей, и он не мог дождаться, чтобы попробовать его на трассе."
"На организацию свадьбы он потратил 200 000₽, включая платье невесты, фотосъемку и аренду зала.","На организацию свадьбы он потратил 200 000 рублей, включая платье невесты, фотосъемку и аренду зала."
"После поездки в Москву, где он заплатил 18 000₽ за проживание, он почувствовал, что это была отличная инвестиция.","После поездки в Москву, где он заплатил 18 000 рублей за проживание, он почувствовал, что это была отличная инвестиция."
"На покупке нового смартфона за 40 000₽ он сэкономил время, поскольку телефон оказался лучшим выбором для его нужд.","На покупке нового смартфона за 40 000 рублей он сэкономил время, поскольку телефон оказался лучшим выбором для его нужд."
"Цена тренажера, который он купил для дома, составила 12 000₽, и он сразу начал заниматься на нем.","Цена тренажера, который он купил для дома, составила 12 000 рублей, и он сразу начал заниматься на нем."
"После посещения выставки современного искусства он заплатил 1000₽ за входной билет, чтобы насладиться экспозицией.","После посещения выставки современного искусства он заплатил 1000 рублей за входной билет, чтобы насладиться экспозицией."
"На новом комплекте мебели для гостиной было потрачено 50 000₽, что позволило создать уютную атмосферу.","На новом комплекте мебели для гостиной было потрачено 50 000 рублей, что позволило создать уютную атмосферу."
"Стоимость услуги по профессиональной фотосессии составила 7000₽, и фотографии получились просто великолепными.","Стоимость услуги по профессиональной фотосессии составила 7000 рублей, и фотографии получились просто великолепными."
"Для того чтобы переехать в новый офис, компании пришлось заплатить 40 000₽ за аренду помещения.","Для того чтобы переехать в новый офис, компании пришлось заплатить 40 000 рублей за аренду помещения."
"Стоимость работы дизайнеров, которые создали новый логотип для компании, составила 25 000₽.","Стоимость работы дизайнеров, которые создали новый логотип для компании, составила 25 000 рублей."
"Он заплатил 1500₽ за билет на театральное представление, которое проходило в столице.","Он заплатил 1500 рублей за билет на театральное представление, которое проходило в столице."
"На закупку продуктов на неделю для всей семьи он потратил 3000₽, что оказалось вполне достаточным.","На закупку продуктов на неделю для всей семьи он потратил 3000 рублей, что оказалось вполне достаточным."
"Чтобы обновить отделку квартиры, он потратил 60 000₽, выбрав качественные материалы.","Чтобы обновить отделку квартиры, он потратил 60 000 рублей, выбрав качественные материалы."
"Стоимость часа работы консультанта составила 2000₽, и он был готов заплатить такую сумму за профессиональные советы.","Стоимость часа работы консультанта составила 2000 рублей, и он был готов заплатить такую сумму за профессиональные советы."
"Для покупки дорогих инструментов для ремонта в квартире ему понадобилось 30 000₽.","Для покупки дорогих инструментов для ремонта в квартире ему понадобилось 30 000 рублей."
"На ночной экскурсии по историческим местам города ему пришлось заплатить 500₽ за билет.","На ночной экскурсии по историческим местам города ему пришлось заплатить 500 рублей за билет."
"Стоимость бизнес-курса, который он решил пройти, составила 25 000₽, что было оправдано его целями.","Стоимость бизнес-курса, который он решил пройти, составила 25 000 рублей, что было оправдано его целями."
"За ремонт машины после аварии ему выставили счет на 15 000₽, что заставило его задуматься о более аккуратной езде.","За ремонт машины после аварии ему выставили счет на 15 000 рублей, что заставило его задуматься о более аккуратной езде."
"Он потратил 20 000₽ на курсы по программированию, чтобы улучшить свои навыки в области IT.","Он потратил 20 000 рублей на курсы по программированию, чтобы улучшить свои навыки в области IT."
"Стоимость спортивных абонементов для двух человек составила 10 000₽ за месяц, что позволяло им тренироваться 5 дней в неделю.","Стоимость спортивных абонементов для двух человек составила 10 000 рублей за месяц, что позволяло им тренироваться 5 дней в неделю."
"Для того чтобы купить спортивную машину, он потратил 1 000 000₽, и это был его заветный меч.","Для того чтобы купить спортивную машину, он потратил 1 000 000 рублей, и это был его заветный меч."
"На создание нового сайта для бизнеса он потратил 50 000₽, и он был доволен результатом.","На создание нового сайта для бизнеса он потратил 50 000 рублей, и он был доволен результатом."
"Стоимость аренды ноутбука для работы в течение месяца составила 3000₽, и это оказалось очень выгодным решением.","Стоимость аренды ноутбука для работы в течение месяца составила 3000 рублей, и это оказалось очень выгодным решением."
"Он заплатил 2000₽ за услугу по реставрации старинного кресла, которое он недавно купил.","Он заплатил 2000 рублей за услугу по реставрации старинного кресла, которое он недавно купил."
"На поездку в Санкт-Петербург он потратил 25 000₽, включая все билеты и проживание.","На поездку в Санкт-Петербург он потратил 25 000 рублей, включая все билеты и проживание."
"За вечернюю прогулку по круизу по реке Волге он заплатил 1500₽, но это стоило того, чтобы увидеть такие виды.","За вечернюю прогулку по круизу по реке Волге он заплатил 1500 рублей, но это стоило того, чтобы увидеть такие виды."
"На покупку нового телевизора для дома он потратил 40 000₽, чтобы обеспечить себе хорошее качество изображения.","На покупку нового телевизора для дома он потратил 40 000 рублей, чтобы обеспечить себе хорошее качество изображения."
"Стоимость ночного проживания в пятизвездочном отеле составила 15 000₽, что включало завтрак и доступ к спа-процедурам.","Стоимость ночного проживания в пятизвездочном отеле составила 15 000 рублей, что включало завтрак и доступ к спа-процедурам."
"Для того чтобы купить подарки на Новый год для всей семьи, ему пришлось потратить около 20 000₽.","Для того чтобы купить подарки на Новый год для всей семьи, ему пришлось потратить около 20 000 рублей."
"На приобретение нового кухонного оборудования для ресторана было потрачено 60 000₽, чтобы улучшить качество обслуживания.","На приобретение нового кухонного оборудования для ресторана было потрачено 60 000 рублей, чтобы улучшить качество обслуживания."
"Стоимость покупки нового кресла для офиса составила 5000₽, и оно значительно улучшило его комфорт.","Стоимость покупки нового кресла для офиса составила 5000 рублей, и оно значительно улучшило его комфорт."
"Для того чтобы оплатить свои медицинские расходы, ему пришлось заплатить 12 000₽ за лечение и процедуры.","Для того чтобы оплатить свои медицинские расходы, ему пришлось заплатить 12 000 рублей за лечение и процедуры."
"Стоимость участия в марафоне составила 2500₽, и он с нетерпением ждал старта.","Стоимость участия в марафоне составила 2500 рублей, и он с нетерпением ждал старта."
"Он заплатил 9000₽ за установку кондиционера, чтобы справляться с летней жарой.","Он заплатил 9000 рублей за установку кондиционера, чтобы справляться с летней жарой."
"За фотографию на память с профессиональным фотографом, который сопровождал их на свадьбе, они отдали 10 000₽.","За фотографию на память с профессиональным фотографом, который сопровождал их на свадьбе, они отдали 10 000 рублей."
"Для того чтобы арендовать офис на два месяца, ему пришлось заплатить 40 000₽, что было выгодным предложением.","Для того чтобы арендовать офис на два месяца, ему пришлось заплатить 40 000 рублей, что было выгодным предложением."
"На ремонт старинных часов ему понадобилось 15 000₽, чтобы восстановить их первоначальный вид.","На ремонт старинных часов ему понадобилось 15 000 рублей, чтобы восстановить их первоначальный вид."
"Стоимость новогоднего корпоратива для всей команды составила 25 000₽, включая аренду зала и организацию развлекательной программы.","Стоимость новогоднего корпоратива для всей команды составила 25 000 рублей, включая аренду зала и организацию развлекательной программы."
"Для поездки в Сочи и отдыха на курорте он потратил 35 000₽ на проживание и развлечения.","Для поездки в Сочи и отдыха на курорте он потратил 35 000 рублей на проживание и развлечения."
"На покупку нового ноутбука для работы было потрачено 50 000₽, так как старый уже не справлялся с задачами.","На покупку нового ноутбука для работы было потрачено 50 000 рублей, так как старый уже не справлялся с задачами."
"Для участия в бизнес-семинаре ему пришлось заплатить 20 000₽, чтобы получить новые знания.","Для участия в бизнес-семинаре ему пришлось заплатить 20 000 рублей, чтобы получить новые знания."
"Стоимость обучения в частной школе составила 60 000₽ за один месяц, и эта сумма была оправдана качественным обучением.","Стоимость обучения в частной школе составила 60 000 рублей за один месяц, и эта сумма была оправдана качественным обучением."
"На приобретение профессионального фотоаппарата для работы было потрачено 45 000₽, что позволило сделать отличные снимки.","На приобретение профессионального фотоаппарата для работы было потрачено 45 000 рублей, что позволило сделать отличные снимки."
"Стоимость услуги по доставке продуктов составила 1000₽, и это было удобно для заказа больших объемов.","Стоимость услуги по доставке продуктов составила 1000 рублей, и это было удобно для заказа больших объемов."
"Для того чтобы обновить свою коллекцию книг, он потратил 8000₽, добавив редкие экземпляры.","Для того чтобы обновить свою коллекцию книг, он потратил 8000 рублей, добавив редкие экземпляры."
"На покупку нового автосалона для своей компании было потрачено 1 500 000₽, и это открыло новые горизонты для бизнеса.","На покупку нового автосалона для своей компании было потрачено 1 500 000 рублей, и это открыло новые горизонты для бизнеса."
"На аренду квартиры в центре города за месяц он заплатил 45 000₽, что стало для него новым шагом в жизни.","На аренду квартиры в центре города за месяц он заплатил 45 000 рублей, что стало для него новым шагом в жизни."
"Для того чтобы оплатить ремонт компьютера, ему пришлось заплатить 3500₽, что позволило вернуть устройство в рабочее состояние.","Для того чтобы оплатить ремонт компьютера, ему пришлось заплатить 3500 рублей, что позволило вернуть устройство в рабочее состояние."
"Стоимость медицинской страховки на год составила 20 000₽, что обеспечило ему покрытие всех возможных рисков.","Стоимость медицинской страховки на год составила 20 000 рублей, что обеспечило ему покрытие всех возможных рисков."
"На проведение праздника для детей в школе было потрачено 10 000₽, что включало закупку подарков и организацию развлечений.","На проведение праздника для детей в школе было потрачено 10 000 рублей, что включало закупку подарков и организацию развлечений."
"Стоимость изготовления презентации для важной деловой встречи составила 5000₽, и она была готова вовремя.","Стоимость изготовления презентации для важной деловой встречи составила 5000 рублей, и она была готова вовремя."
"Для того чтобы арендовать лодку для рыбалки, ему пришлось заплатить 2000₽ за день.","Для того чтобы арендовать лодку для рыбалки, ему пришлось заплатить 2000 рублей за день."
"На приобретение качественных спортивных аксессуаров для тренировок в спортзале он потратил 10 000₽.","На приобретение качественных спортивных аксессуаров для тренировок в спортзале он потратил 10 000 рублей."
"Для того чтобы пройти курс по ораторскому мастерству, он заплатил 12 000₽, что позволило улучшить навыки общения.","Для того чтобы пройти курс по ораторскому мастерству, он заплатил 12 000 рублей, что позволило улучшить навыки общения."
"Стоимость ремонта кухни составила 30 000₽, и результат оказался потрясающим.","Стоимость ремонта кухни составила 30 000 рублей, и результат оказался потрясающим."
"Для того чтобы организовать свадьбу, пара потратила 100 000₽ на аренду зала, фотосъемку и музыкальное оформление.","Для того чтобы организовать свадьбу, пара потратила 100 000 рублей на аренду зала, фотосъемку и музыкальное оформление."
"На покупке новой мебели для дачи было потрачено 15 000₽, что позволило создать уютную атмосферу.","На покупке новой мебели для дачи было потрачено 15 000 рублей, что позволило создать уютную атмосферу."
"Стоимость посещения художественной выставки составила 500₽ за билет, что стало отличной возможностью увидеть новые работы художников.","Стоимость посещения художественной выставки составила 500 рублей за билет, что стало отличной возможностью увидеть новые работы художников."
"На профессиональную фотосессию на природе ему пришлось заплатить 6000₽, и результат превзошел все ожидания.","На профессиональную фотосессию на природе ему пришлось заплатить 6000 рублей, и результат превзошел все ожидания."
"Для того чтобы арендовать фотостудию на день, он заплатил 4000₽, и это оказалось выгодным решением.","Для того чтобы арендовать фотостудию на день, он заплатил 4000 рублей, и это оказалось выгодным решением."
